abbreviation,alt_color,alt_name1,alt_name2,alt_name3,classification,color,conference,id,location_capacity,location_city,location_country_code,location_dome,location_elevation,location_grass,location_latitude,location_longitude,location_name,location_state,location_timezone,location_venue_id,location_year_constructed,location_zip,logo,logos,mascot,school,twitter
BOW,#000000,,BOW,Bowdoin,iii,#ffffff,NESCAC,340,9000,Brunswick,US,False,,,43.9145244,-69.9653278,Whittier Field,ME,,5806,,04011,http://a.espncdn.com/i/teamlogos/ncaa/500/340.png,,Polar Bears,Bowdoin,
BSU,,,BSU,Bowie St,ii,,CIAA,2075,2964,Bowie,US,False,,,38.9424464,-76.7301718,Bulldogs Stadium,MD,,5873,,20720,http://a.espncdn.com/i/teamlogos/ncaa/500/2075.png,,Bulldogs,Bowie State,
BGSU,#492000,Bowling Green State,BGSU,Bowling Green,fbs,#2b1000,Mid-American,189,24000,Bowling Green,US,False,205.9057465,False,41.3780114,-83.6225,Doyt L. Perry Stadium,OH,America/New_York,3700,1966,43403,http://a.espncdn.com/i/teamlogos/ncaa/500/189.png,,Falcons,Bowling Green,@BG_Football
BRE,,,BRE,Brevard,iii,,USA South,2913,7000,Brevard,US,False,,,35.2334472,-82.7342919,Brevard Memorial Stadium,NC,,5807,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2913.png,,Tornados,Brevard College,
BRST,#000000,,BRST,Bridgewater St,iii,#bf2f38,MSCAC,18,1560,Bridgewater,US,False,,,41.9903787,-70.9750426,Edward C. Swenson Athletic Complex,MA,,5808,,50837,http://a.espncdn.com/i/teamlogos/ncaa/500/18.png,,Bears,Bridgewater State,
BRVA,#8d724b,,BRVA,Bridgewater VA,iii,#990022,Old Dominion,2079,3500,Bridgewater,US,False,,,38.3820655,-78.9766975,Jopson Athletic Complex,VA,,5800,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2079.png,,Eagles,Bridgewater (VA),
BBM,,,BBM,Britsh Col,,,,2080,,,,,,,,,,,,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2080.png,,British Col,British Columbia,
BRO,,,BRO,Brockport,iii,,Empire 8,2781,10000,Brockport,US,False,,,43.213671,-77.93918,Bob Boozer Field,NY,,6126,,14420,http://a.espncdn.com/i/teamlogos/ncaa/500/2781.png,,Golden Eagles,Brockport,
BRWN,#949300,,BRWN,Brown,fcs,#411e09,Ivy,225,20000,Providence,US,False,33.87348557,False,41.842114,-71.3939416,Brown Stadium,RI,America/New_York,3656,1925,2912 ,http://a.espncdn.com/i/teamlogos/ncaa/500/225.png,,Bears,Brown,@BrownU_Football
BRY,#9f8343,,BRY,Bryant,fcs,,CAA,2803,4400,Smithfield,US,False,124.471344,False,41.924206,-71.5385124,Bulldog Stadium,RI,America/New_York,3661,1999,93710,http://a.espncdn.com/i/teamlogos/ncaa/500/2803.png,,Bulldogs,Bryant,@BryantUFootball
